 # OwnerID start duration size type
 00 00 100 100 os
 01 00 2 150 interactive
 02 01 2 200 batch
 03 02 4 50 batch
 04 00 1 10 batch
 05 00 200 20 batch
 06 01 2 200 batch
 07 02 4 50 batch
 08 00 1 10 batch
 09 00 200 20 batch
 10 01 2 200 batch
 11 02 4 50 batch
 12 00 1 10 batch
 13 00 200 20 batch
 14 01 2 200 batch
 15 02 4 50 batch
 16 00 1 10 batch
 17 00 200 20 batch
 18 01 2 200 batch
 19 02 4 50 batch
 20 00 1 10 batch
 21 00 200 20 batch
 22 01 2 200 batch
 23 02 4 50 batch
 24 00 1 10 batch
 25 00 200 20 batch
 26 01 2 200 batch
 27 02 4 50 batch
 28 00 1 10 batch
 29 00 200 20 batch

